[ERROR] routeMap:9608  naipMap:899
[ERROR] B208 31 25
[ERROR] B206 13 4
[ERROR] B215 51 49
[ERROR] B213 45 27
[ERROR] B221 20 20
[ERROR] B339 12 6
[ERROR] B334 6 6
[ERROR] B332 17 2
[ERROR] B330 46 37
[ERROR] B345 11 3
[ERROR] R200 19 16
[ERROR] G212 80 47
[ERROR] A1 95 4
[ERROR] G218 9 6
[ERROR] G204 11 11
[ERROR] R224 5 2
[ERROR] R213 7 2
[ERROR] G221 14 12
[ERROR] H1 26 2
[ERROR] H2 23 19
[ERROR] H3 2 2
[ERROR] H4 19 6
[ERROR] H5 3 3
[ERROR] H6 11 5
[ERROR] H7 8 8
[ERROR] H8 19 8
[ERROR] H9 12 7
[ERROR] V10 119 3
[ERROR] V12 154 2
[ERROR] V14 150 3
[ERROR] V13 157 2
[ERROR] V15 136 2
[ERROR] V18 98 2
[ERROR] V17 105 6
[ERROR] V19 32 3
[ERROR] V21 134 4
[ERROR] V20 170 2
[ERROR] V25 91 2
[ERROR] V27 120 2
[ERROR] V30 75 3
[ERROR] V31 59 3
[ERROR] V34 47 2
[ERROR] V33 48 3
[ERROR] V36 37 3
[ERROR] V35 99 2
[ERROR] V38 69 4
[ERROR] V37 77 2
[ERROR] V39 99 2
[ERROR] V41 41 3
[ERROR] V43 45 4
[ERROR] V42 17 2
[ERROR] V45 78 3
[ERROR] V44 74 3
[ERROR] V47 41 4
[ERROR] V46 26 3
[ERROR] V49 37 2
[ERROR] V48 26 4
[ERROR] V50 46 5
[ERROR] V54 84 2
[ERROR] V53 48 2
[ERROR] V56 64 4
[ERROR] V55 62 4
[ERROR] V58 31 2
[ERROR] V57 26 4
[ERROR] V59 23 3
[ERROR] V61 18 2
[ERROR] V60 17 2
[ERROR] V63 66 2
[ERROR] V62 36 5
[ERROR] V65 3 3
[ERROR] V64 29 5
[ERROR] V67 33 5
[ERROR] V66 93 3
[ERROR] V69 37 5
[ERROR] V70 80 2
[ERROR] V72 31 3
[ERROR] V71 68 3
[ERROR] V74 41 3
[ERROR] V73 25 3
[ERROR] V76 25 2
[ERROR] V75 24 2
[ERROR] V78 39 3
[ERROR] V77 47 2
[ERROR] V79 5 4
[ERROR] V80 16 2
[ERROR] W105 29 6
[ERROR] W117 10 2
[ERROR] B458 11 11
[ERROR] B451 30 13
[ERROR] W121 14 2
[ERROR] W122 13 2
[ERROR] W123 6 3
[ERROR] W125 22 4
[ERROR] W126 15 2
[ERROR] W127 13 7
[ERROR] W106 14 2
[ERROR] W107 10 2
[ERROR] W108 14 5
[ERROR] W109 6 2
[ERROR] W111 19 3
[ERROR] W112 33 11
[ERROR] W113 16 4
[ERROR] W114 23 2
[ERROR] W115 12 2
[ERROR] W116 9 2
[ERROR] W139 17 3
[ERROR] W142 9 2
[ERROR] W143 19 4
[ERROR] W144 44 6
[ERROR] W145 11 3
[ERROR] W146 18 4
[ERROR] W147 11 2
[ERROR] W148 23 3
[ERROR] W149 12 2
[ERROR] V1 155 6
[ERROR] V2 203 3
[ERROR] W140 15 2
[ERROR] V5 126 3
[ERROR] W141 17 3
[ERROR] V8 156 2
[ERROR] V9 99 3
[ERROR] W128 20 3
[ERROR] W129 4 4
[ERROR] W131 6 3
[ERROR] W132 7 7
[ERROR] W133 8 2
[ERROR] W134 18 5
[ERROR] W135 15 5
[ERROR] W136 23 4
[ERROR] W137 19 3
[ERROR] W138 17 2
[ERROR] W2 154 5
[ERROR] W3 116 8
[ERROR] W4 109 19
[ERROR] W5 91 9
[ERROR] W130 4 2
[ERROR] W6 102 4
[ERROR] W7 101 3
[ERROR] W8 111 4
[ERROR] W9 129 11
[ERROR] W164 11 4
[ERROR] W165 10 2
[ERROR] W166 11 4
[ERROR] W167 3 3
[ERROR] W168 9 4
[ERROR] W169 17 11
[ERROR] X1 2 2
[ERROR] X2 3 3
[ERROR] X3 5 5
[ERROR] W160 7 2
[ERROR] X4 3 3
[ERROR] W161 8 2
[ERROR] W162 16 11
[ERROR] X6 5 5
[ERROR] W163 10 3
[ERROR] X9 4 4
[ERROR] W153 13 2
[ERROR] W154 23 2
[ERROR] W155 15 3
[ERROR] W157 9 5
[ERROR] W158 18 2
[ERROR] W159 15 2
[ERROR] Y1 24 9
[ERROR] Y2 11 3
[ERROR] W150 9 2
[ERROR] W151 16 3
[ERROR] W152 15 5
[ERROR] W186 17 5
[ERROR] W187 14 9
[ERROR] W188 23 7
[ERROR] W189 24 3
[ERROR] Z1 52 9
[ERROR] Z3 57 4
[ERROR] W180 41 14
[ERROR] W181 10 7
[ERROR] Z5 62 3
[ERROR] W182 15 5
[ERROR] Z6 21 3
[ERROR] W183 6 4
[ERROR] Z7 36 2
[ERROR] W184 8 2
[ERROR] Z8 15 4
[ERROR] W185 9 4
[ERROR] Z9 22 2
[ERROR] W175 8 4
[ERROR] W176 13 5
[ERROR] W177 12 4
[ERROR] W178 3 3
[ERROR] W179 10 7
[ERROR] W170 10 3
[ERROR] W171 5 3
[ERROR] W172 16 7
[ERROR] W173 8 5
[ERROR] W174 13 4
[ERROR] W197 6 3
[ERROR] W198 12 7
[ERROR] W199 13 5
[ERROR] W190 16 8
[ERROR] W191 17 11
[ERROR] W192 22 7
[ERROR] W193 23 6
[ERROR] W194 16 5
[ERROR] W195 20 3
[ERROR] W196 18 4
[ERROR] G330 6 6
[ERROR] G332 4 4
[ERROR] G338 10 3
[ERROR] G327 7 7
[ERROR] R343 33 33
[ERROR] R339 11 11
[ERROR] G341 8 8
[ERROR] G343 9 3
[ERROR] G345 5 5
[ERROR] W11 108 2
[ERROR] W13 75 10
[ERROR] W12 67 2
[ERROR] W15 122 2
[ERROR] W17 98 2
[ERROR] W16 57 3
[ERROR] W19 139 10
[ERROR] W18 99 6
[ERROR] W20 90 2
[ERROR] W22 60 6
[ERROR] W21 87 4
[ERROR] W24 83 6
[ERROR] W23 88 2
[ERROR] W26 58 3
[ERROR] W25 60 4
[ERROR] W27 68 2
[ERROR] W29 48 4
[ERROR] W30 57 7
[ERROR] W33 78 5
[ERROR] W32 85 5
[ERROR] W39 32 5
[ERROR] W38 27 2
[ERROR] W40 50 5
[ERROR] W42 49 2
[ERROR] W41 64 2
[ERROR] W44 55 3
[ERROR] W46 41 8
[ERROR] W51 60 3
[ERROR] W50 27 8
[ERROR] W53 35 2
[ERROR] W59 19 3
[ERROR] W58 30 5
[ERROR] W60 11 2
[ERROR] W63 19 2
[ERROR] W66 25 7
[ERROR] W68 20 2
[ERROR] W67 26 5
[ERROR] W70 21 4
[ERROR] W73 18 3
[ERROR] W75 29 5
[ERROR] W74 21 2
[ERROR] W77 21 3
[ERROR] W76 15 2
[ERROR] W79 21 2
[ERROR] W78 18 3
[ERROR] W80 27 3
[ERROR] W82 10 3
[ERROR] W81 20 2
[ERROR] W83 13 3
[ERROR] W86 28 4
[ERROR] W88 30 2
[ERROR] W89 17 5
[ERROR] M503 9 9
[ERROR] W91 17 4
[ERROR] W90 11 3
[ERROR] W93 9 3
[ERROR] W92 7 3
[ERROR] W95 33 7
[ERROR] W94 17 3
[ERROR] W99 17 6
[ERROR] A202 15 6
[ERROR] N892 21 2
[ERROR] B591 28 3
[ERROR] G455 8 8
[ERROR] G471 7 7
[ERROR] G470 6 6
[ERROR] R473 13 13
[ERROR] R474 17 8
[ERROR] R471 12 2
[ERROR] X11 4 4
[ERROR] X14 6 6
[ERROR] X13 3 3
[ERROR] X16 2 2
[ERROR] X15 2 2
[ERROR] X18 4 4
[ERROR] X17 2 2
[ERROR] X23 4 4
[ERROR] X22 5 5
[ERROR] X25 4 4
[ERROR] X24 6 6
[ERROR] X27 2 2
[ERROR] X26 4 4
[ERROR] X29 3 3
[ERROR] X28 3 3
[ERROR] X32 3 3
[ERROR] X31 2 2
[ERROR] X33 3 4
[ERROR] X52 2 2
[ERROR] X51 4 4
[ERROR] X54 5 6
[ERROR] X53 2 2
[ERROR] X56 3 3
[ERROR] X55 5 5
[ERROR] X58 3 3
[ERROR] X57 5 5
[ERROR] X59 3 3
[ERROR] X61 3 3
[ERROR] X60 2 2
[ERROR] X63 6 6
[ERROR] X62 3 3
[ERROR] X65 2 3
[ERROR] X64 4 5
[ERROR] X67 3 3
[ERROR] X66 3 3
[ERROR] X72 8 8
[ERROR] X71 4 4
[ERROR] X74 2 2
[ERROR] X73 1 2
[ERROR] X78 3 3
[ERROR] X77 2 2
[ERROR] X79 3 3
[ERROR] X81 4 4
[ERROR] X80 5 5
[ERROR] X83 2 2
[ERROR] X82 3 3
[ERROR] X85 2 2
[ERROR] X84 3 3
[ERROR] X86 4 3
[ERROR] X89 2 2
[ERROR] X90 4 5
[ERROR] X92 2 2
[ERROR] X94 2 2
[ERROR] X93 2 2
[ERROR] X96 2 2
[ERROR] X95 2 2
[ERROR] X98 2 2
[ERROR] X97 2 2
[ERROR] X99 3 3
[ERROR] A326 23 23
[ERROR] A345 22 20
[ERROR] A343 3 3
[ERROR] A368 49 9
[ERROR] A364 3 3
[ERROR] G597 26 2
[ERROR] H10 21 10
[ERROR] H12 24 8
[ERROR] H11 12 7
[ERROR] H14 21 18
[ERROR] H13 20 20
[ERROR] G586 8 8
[ERROR] H15 19 19
[ERROR] H18 12 7
[ERROR] G588 16 6
[ERROR] H17 14 8
[ERROR] H19 8 6
[ERROR] H20 51 23
[ERROR] H23 6 6
[ERROR] H22 13 11
[ERROR] H25 10 7
[ERROR] H24 31 29
[ERROR] H26 3 3
[ERROR] H29 3 3
[ERROR] H28 8 8
[ERROR] H30 10 10
[ERROR] H32 2 2
[ERROR] R596 7 4
[ERROR] H31 6 2
[ERROR] H34 26 11
[ERROR] H33 2 2
[ERROR] H36 12 9
[ERROR] H35 8 4
[ERROR] H38 9 3
[ERROR] H37 6 6
[ERROR] H39 7 7
[ERROR] H40 9 6
[ERROR] H42 3 3
[ERROR] H45 2 2
[ERROR] H44 8 2
[ERROR] H47 5 5
[ERROR] H46 5 5
[ERROR] H49 3 3
[ERROR] H48 4 4
[ERROR] H50 7 5
[ERROR] H52 2 2
[ERROR] H51 2 2
[ERROR] H54 4 2
[ERROR] H56 3 3
[ERROR] H58 4 4
[ERROR] H57 3 3
[ERROR] H59 20 5
[ERROR] H60 2 2
[ERROR] H63 4 4
[ERROR] H62 9 2
[ERROR] H65 10 6
[ERROR] H64 9 9
[ERROR] H67 3 3
[ERROR] H66 14 3
[ERROR] H69 2 2
[ERROR] H68 2 2
[ERROR] H70 9 6
[ERROR] H71 6 6
[ERROR] H74 2 2
[ERROR] H73 3 4
[ERROR] H76 12 5
[ERROR] H75 12 7
[ERROR] H78 6 6
[ERROR] H77 2 2
[ERROR] H79 4 2
[ERROR] H81 7 7
[ERROR] H80 2 2
[ERROR] H83 8 4
[ERROR] H82 12 4
[ERROR] H85 2 2
[ERROR] H84 16 2
[ERROR] H87 7 7
[ERROR] H86 5 3
[ERROR] H89 3 3
[ERROR] H90 6 6
[ERROR] H92 4 4
[ERROR] H91 5 4
[ERROR] H94 4 4
[ERROR] H93 9 9
[ERROR] H96 6 6
[ERROR] H95 4 4
[ERROR] H98 6 4
[ERROR] H99 8 3
[ERROR] M771 20 2
[ERROR] A468 5 2
[ERROR] A461 58 27
[ERROR] A460 3 3
[ERROR] A470 31 31
[ERROR] Z10 33 2
[ERROR] Z11 25 2
[ERROR] W500 4 4
[ERROR] W501 2 2
[ERROR] W514 5 3
[ERROR] W517 3 3
[ERROR] W518 6 3
[ERROR] W519 14 3
[ERROR] W520 3 3
[ERROR] W521 3 3
[ERROR] W522 4 4
[ERROR] W523 2 2
[ERROR] W503 2 2
[ERROR] W504 7 2
[ERROR] W505 2 2
[ERROR] W506 2 2
[ERROR] W507 3 3
[ERROR] W508 3 3
[ERROR] W509 3 3
[ERROR] W510 3 3
[ERROR] W511 2 2
[ERROR] W512 6 3
[ERROR] W535 8 2
[ERROR] W536 12 3
[ERROR] W537 5 2
[ERROR] W538 13 2
[ERROR] W539 4 2
[ERROR] W540 11 4
[ERROR] W541 12 3
[ERROR] W543 7 4
[ERROR] W545 15 3
[ERROR] W524 6 3
[ERROR] W525 5 2
[ERROR] W526 2 2
[ERROR] W527 3 3
[ERROR] W528 8 3
[ERROR] W529 4 2
[ERROR] W530 5 3
[ERROR] W531 10 2
[ERROR] W557 4 4
[ERROR] W558 2 2
[ERROR] W559 3 3
[ERROR] W560 3 3
[ERROR] W561 3 3
[ERROR] W562 6 3
[ERROR] W563 2 2
[ERROR] W564 7 2
[ERROR] W565 4 2
[ERROR] W567 11 2
[ERROR] W546 12 4
[ERROR] W547 2 2
[ERROR] W548 2 2
[ERROR] W549 4 4
[ERROR] A575 51 14
[ERROR] W550 11 6
[ERROR] W551 6 2
[ERROR] W552 6 6
[ERROR] W553 4 2
[ERROR] W554 10 10
[ERROR] W555 2 2
[ERROR] W579 5 5
[ERROR] A588 19 19
[ERROR] W582 2 2
[ERROR] W583 2 2
[ERROR] W584 15 3
[ERROR] A581 31 23
[ERROR] W585 2 2
[ERROR] W586 2 2
[ERROR] W587 8 2
[ERROR] W588 2 2
[ERROR] W589 2 2
[ERROR] W581 2 2
[ERROR] W568 3 3
[ERROR] W569 8 2
[ERROR] A599 42 38
[ERROR] A596 17 17
[ERROR] A593 35 28
[ERROR] W571 12 4
[ERROR] A591 6 7
[ERROR] W573 2 2
[ERROR] W574 2 2
[ERROR] W575 11 6
[ERROR] W576 4 4
[ERROR] W577 6 2
[ERROR] W578 3 3
[ERROR] W570 6 6
[ERROR] W593 2 2
[ERROR] W594 2 2
[ERROR] W595 6 2
[ERROR] W596 6 2
[ERROR] W597 5 5
[ERROR] W598 6 2
[ERROR] W599 4 4
[ERROR] W590 2 2
[ERROR] W591 2 2
[ERROR] W592 5 2
[ERROR] J32 25 2
[ERROR] J34 38 3
[ERROR] J36 16 2
[ERROR] J35 22 4
[ERROR] J38 2 2
[ERROR] J37 34 2
[ERROR] J40 14 2
[ERROR] J43 33 2
[ERROR] J42 67 5
[ERROR] J44 13 2
[ERROR] J47 7 4
[ERROR] J48 16 4
[ERROR] J50 34 2
[ERROR] J52 42 2
[ERROR] J51 25 4
[ERROR] J53 22 2
[ERROR] J56 16 3
[ERROR] J55 46 2
[ERROR] J58 26 2
[ERROR] J57 5 2
[ERROR] J59 8 2
[ERROR] J60 46 2
[ERROR] J65 36 4
[ERROR] J64 53 3
[ERROR] J67 5 2
[ERROR] J66 27 2
[ERROR] J69 5 2
[ERROR] J68 17 4
[ERROR] J70 43 2
[ERROR] J74 16 2
[ERROR] J76 12 2
[ERROR] J75 33 2
[ERROR] J78 22 2
[ERROR] J77 2 2
[ERROR] J79 32 2
[ERROR] J81 16 2
[ERROR] J82 17 2
[ERROR] J84 25 2
[ERROR] J87 23 2
[ERROR] J86 25 2
[ERROR] J88 9 2
[ERROR] W600 7 4
[ERROR] J92 36 2
[ERROR] J91 13 2
[ERROR] J93 21 4
[ERROR] J96 19 2
[ERROR] J95 10 3
[ERROR] J98 10 2
[ERROR] J97 6 2
[ERROR] J99 7 2
[ERROR] W612 9 4
[ERROR] W613 15 2
[ERROR] W614 13 4
[ERROR] W615 8 2
[ERROR] W616 3 3
[ERROR] W617 18 4
[ERROR] W618 2 2
[ERROR] W619 4 4
[ERROR] W620 3 3
[ERROR] W621 3 3
[ERROR] W622 2 2
[ERROR] W609 3 3
[ERROR] W601 14 4
[ERROR] W602 9 9
[ERROR] W603 16 10
[ERROR] W604 5 2
[ERROR] W605 19 4
[ERROR] W606 7 2
[ERROR] W607 3 3
[ERROR] W608 6 4
[ERROR] W610 4 4
[ERROR] W611 4 2
[ERROR] L642 19 3
[ERROR] W623 6 3
[ERROR] W624 7 2
[ERROR] J100 22 2
[ERROR] J103 13 2
[ERROR] J101 29 2
[ERROR] J102 14 2
[ERROR] J107 18 2
[ERROR] J108 9 4
[ERROR] J105 19 4
[ERROR] J106 13 3
[ERROR] J109 8 4
[ERROR] J121 38 2
[ERROR] J122 15 2
[ERROR] J120 18 4
[ERROR] J125 17 2
[ERROR] J126 22 3
[ERROR] J123 12 3
[ERROR] J129 15 5
[ERROR] J127 5 2
[ERROR] J128 23 2
[ERROR] J111 12 2
[ERROR] J114 11 2
[ERROR] J115 26 2
[ERROR] J112 22 3
[ERROR] J113 11 3
[ERROR] J118 14 2
[ERROR] J119 12 2
[ERROR] J116 21 3
[ERROR] J117 11 2
[ERROR] J140 13 4
[ERROR] J143 14 2
[ERROR] J144 7 2
[ERROR] J141 30 2
[ERROR] J142 12 2
[ERROR] J147 10 2
[ERROR] J148 15 2
[ERROR] J145 10 3
[ERROR] J146 37 2
[ERROR] J149 23 2
[ERROR] J132 13 2
[ERROR] J133 15 3
[ERROR] J130 12 4
[ERROR] J131 17 2
[ERROR] J136 11 2
[ERROR] J137 10 2
[ERROR] J134 36 2
[ERROR] J135 4 2
[ERROR] J138 28 2
[ERROR] J139 18 2
[ERROR] J161 11 2
[ERROR] J162 25 2
[ERROR] J160 14 2
[ERROR] J165 14 2
[ERROR] J166 24 4
[ERROR] J163 22 2
[ERROR] J164 7 2
[ERROR] J169 13 3
